Entity,Code,Year,Sugar beet | 00000157 || Production | 005510 || tonnes
Africa,,2002,6155161
Africa,,2003,6120015
Africa,,2004,6050557
Africa,,2005,6731075
Africa,,2006,6456660
Africa,,2007,7945945
Africa,,2008,8062089
Africa,,2009,8090783
Africa,,2010,10280114
Africa,,2011,10525211
Africa,,2012,10791228
Africa,,2013,12224287
Africa,,2014,14336298
Africa,,2015,15940600
Africa,,2016,15510721
Africa,,2017,14689584
Africa,,2018,14187840
Africa,,2019,16039036
Africa,,2020,16769489
Africa (FAO),,1961,106020
Africa (FAO),,1962,103419
Africa (FAO),,1963,125753
Africa (FAO),,1964,241420
Africa (FAO),,1965,226499
Africa (FAO),,1966,463968
Africa (FAO),,1967,467126
Africa (FAO),,1968,858213
Africa (FAO),,1969,1053022
Africa (FAO),,1970,1206908
Africa (FAO),,1971,1713902
Africa (FAO),,1972,1745004
Africa (FAO),,1973,1378060
Africa (FAO),,1974,2048350
Africa (FAO),,1975,1911050
Africa (FAO),,1976,2490110
Africa (FAO),,1977,1651863
Africa (FAO),,1978,2542945
Africa (FAO),,1979,2422890
Africa (FAO),,1980,2468841
Africa (FAO),,1981,2340765
Africa (FAO),,1982,2629599
Africa (FAO),,1983,3001089
Africa (FAO),,1984,3307600
Africa (FAO),,1985,3091800
Africa (FAO),,1986,3548800
Africa (FAO),,1987,3777800
Africa (FAO),,1988,3971786
Africa (FAO),,1989,3813757
Africa (FAO),,1990,3840035
Africa (FAO),,1991,4352531
Africa (FAO),,1992,3788753
Africa (FAO),,1993,4101900
Africa (FAO),,1994,4199896
Africa (FAO),,1995,3907326
Africa (FAO),,1996,3896627
Africa (FAO),,1997,4023860
Africa (FAO),,1998,4916511
Africa (FAO),,1999,5885388
Africa (FAO),,2000,5794460
Africa (FAO),,2001,5693660
Africa (FAO),,2002,6155161
Africa (FAO),,2003,6120015
Africa (FAO),,2004,6050557
Africa (FAO),,2005,6731075
Africa (FAO),,2006,6456660
Africa (FAO),,2007,7945945
Africa (FAO),,2008,8062089
Africa (FAO),,2009,8090783
Africa (FAO),,2010,10280114
Africa (FAO),,2011,10525211
Africa (FAO),,2012,10791228
Africa (FAO),,2013,12224287
Africa (FAO),,2014,14336298
Africa (FAO),,2015,15940600
Africa (FAO),,2016,15510721
Africa (FAO),,2017,14689584
Africa (FAO),,2018,14187840
Africa (FAO),,2019,16039036
Africa (FAO),,2020,16769489
Albania,ALB,1961,83010
Albania,ALB,1962,79368
Albania,ALB,1963,93872
Albania,ALB,1964,135037
Albania,ALB,1965,90085
Albania,ALB,1966,132575
Albania,ALB,1967,137645
Albania,ALB,1968,122294
Albania,ALB,1969,100472
Albania,ALB,1970,116540
Albania,ALB,1971,126209
Albania,ALB,1972,150000
Albania,ALB,1973,162000
Albania,ALB,1974,140000
Albania,ALB,1975,150000
Albania,ALB,1976,140000
Albania,ALB,1977,115000
Albania,ALB,1978,150000
Albania,ALB,1979,312141
Albania,ALB,1980,278100
Albania,ALB,1981,304400
Albania,ALB,1982,319200
Albania,ALB,1983,320000
Albania,ALB,1984,320000
Albania,ALB,1985,228000
Albania,ALB,1986,193000
Albania,ALB,1987,192000
Albania,ALB,1988,125000
Albania,ALB,1989,262000
Albania,ALB,1990,169000
Albania,ALB,1991,58000
Albania,ALB,1992,46458
Albania,ALB,1993,26825
Albania,ALB,1994,60000
Albania,ALB,1995,66977
Albania,ALB,1996,74090
Albania,ALB,1997,50947
Albania,ALB,1998,55740
Albania,ALB,1999,39900
Albania,ALB,2000,42000
Albania,ALB,2001,38500
Albania,ALB,2002,39200
Albania,ALB,2003,40000
Albania,ALB,2004,40000
Albania,ALB,2005,40000
Albania,ALB,2006,50000
Albania,ALB,2007,40000
Albania,ALB,2008,40000
Albania,ALB,2009,40000
Albania,ALB,2010,40000
Albania,ALB,2011,40000
Albania,ALB,2012,40000
Albania,ALB,2013,40000
Albania,ALB,2014,37554
Albania,ALB,2015,35608
Albania,ALB,2016,33947
Albania,ALB,2017,32470
Albania,ALB,2018,27485
Albania,ALB,2019,30705
Albania,ALB,2020,26964
Algeria,DZA,1961,2520
Algeria,DZA,1963,7200
Algeria,DZA,1964,11419
Algeria,DZA,1965,13886
Algeria,DZA,1966,25000
Algeria,DZA,1967,63000
Algeria,DZA,1968,76000
Algeria,DZA,1969,114115
Algeria,DZA,1970,65273
Algeria,DZA,1971,94839
Algeria,DZA,1972,23719
Algeria,DZA,1973,40580
Algeria,DZA,1974,57330
Algeria,DZA,1975,66330
Algeria,DZA,1976,45500
Algeria,DZA,1977,60163
Algeria,DZA,1978,67545
Algeria,DZA,1979,93341
Algeria,DZA,1980,49351
Algeria,DZA,1981,63565
Algeria,DZA,1982,34999
Algeria,DZA,1983,99529
Algeria,DZA,1984,110000
Algeria,DZA,1985,112000
Algeria,DZA,1986,112000
Algeria,DZA,1987,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Americas (FAO),,1961,17689156
Americas (FAO),,1962,18284126
Americas (FAO),,1963,23478199
Americas (FAO),,1964,23485320
Americas (FAO),,1965,20679811
Americas (FAO),,1966,20959158
Americas (FAO),,1967,20173011
Americas (FAO),,1968,25630785
Americas (FAO),,1969,27599868
Americas (FAO),,1970,25733883
Americas (FAO),,1971,27319164
Americas (FAO),,1972,28339542
Americas (FAO),,1973,24419319
Americas (FAO),,1974,22282507
Americas (FAO),,1975,30083663
Americas (FAO),,1976,30929752
Americas (FAO),,1977,26503373
Americas (FAO),,1978,25557902
Americas (FAO),,1979,21828985
Americas (FAO),,1980,23159186
Americas (FAO),,1981,28005642
Americas (FAO),,1982,21313774
Americas (FAO),,1983,22252642
Americas (FAO),,1984,23476990
Americas (FAO),,1985,23145397
Americas (FAO),,1986,26698532
Americas (FAO),,1987,29356864
Americas (FAO),,1988,25969259
Americas (FAO),,1989,26580596
Americas (FAO),,1990,28436443
Americas (FAO),,1991,28987365
Americas (FAO),,1992,30972207
Americas (FAO),,1993,28052257
Americas (FAO),,1994,33551453
Americas (FAO),,1995,30248439
Americas (FAO),,1996,28366035
Americas (FAO),,1997,30485531
Americas (FAO),,1998,33480777
Americas (FAO),,1999,34142266
Americas (FAO),,2000,36486679
Americas (FAO),,2001,29518189
Americas (FAO),,2002,31646660
Americas (FAO),,2003,33602104
Americas (FAO),,2004,33077033
Americas (FAO),,2005,30674810
Americas (FAO),,2006,37173097
Americas (FAO),,2007,34344768
Americas (FAO),,2008,25993937
Americas (FAO),,2009,28761278
Americas (FAO),,2010,31028613
Americas (FAO),,2011,28916567
Americas (FAO),,2012,34436867
Americas (FAO),,2013,32287692
Americas (FAO),,2014,30750251
Americas (FAO),,2015,34718422
Americas (FAO),,2016,36011960
Americas (FAO),,2017,34640596
Americas (FAO),,2018,34002730
Americas (FAO),,2019,28264689
Americas (FAO),,2020,32881251
Armenia,ARM,1992,800
Armenia,ARM,1993,800
Armenia,ARM,1994,800
Armenia,ARM,1995,800
Armenia,ARM,1996,800
Armenia,ARM,1997,800
Armenia,ARM,1998,800
Armenia,ARM,1999,800
Armenia,ARM,2000,800
Armenia,ARM,2001,800
Armenia,ARM,2002,811
Armenia,ARM,2003,1500
Armenia,ARM,2004,6000
Armenia,ARM,2005,16000
Armenia,ARM,2006,18000
Armenia,ARM,2007,27000
Armenia,ARM,2008,30000
Armenia,ARM,2009,10000
Armenia,ARM,2010,26000
Armenia,ARM,2011,56500
Armenia,ARM,2012,54000
Armenia,ARM,2013,54500
Armenia,ARM,2014,54000
Armenia,ARM,2015,55334
Armenia,ARM,2016,54611
Armenia,ARM,2017,54649
Armenia,ARM,2018,54865
Armenia,ARM,2019,54708
Armenia,ARM,2020,54741
Asia,,1961,6024225
Asia,,1962,5814410
Asia,,1963,6673299
Asia,,1964,8862407
Asia,,1965,9294951
Asia,,1966,11888391
Asia,,1967,13379174
Asia,,1968,13124870
Asia,,1969,12112473
Asia,,1970,13076624
Asia,,1971,14991473
Asia,,1972,15652509
Asia,,1973,15337683
Asia,,1974,14508409
Asia,,1975,16743572
Asia,,1976,20940749
Asia,,1977,19249359
Asia,,1978,19002837
Asia,,1979,20019303
Asia,,1980,21214012
Asia,,1981,25383219
Asia,,1982,29182788
Asia,,1983,30427570
Asia,,1984,28526795
Asia,,1985,27319101
Asia,,1986,28585882
Asia,,1987,30138936
Asia,,1988,32782521
Asia,,1989,28374027
Asia,,1990,37154377
Asia,,1991,41859373
Asia,,1992,43021039
Asia,,1993,39237013
Asia,,1994,37141077
Asia,,1995,36872287
Asia,,1996,38952364
Asia,,1997,43920488
Asia,,1998,48307263
Asia,,1999,38157034
Asia,,2000,37609622
Asia,,2001,34164904
Asia,,2002,42325377
Asia,,2003,31851278
Asia,,2004,31774278
Asia,,2005,34286395
Asia,,2006,35101210
Asia,,2007,33392667
Asia,,2008,33306077
Asia,,2009,31632339
Asia,,2010,36407955
Asia,,2011,37806917
Asia,,2012,36231492
Asia,,2013,33705654
Asia,,2014,33769475
Asia,,2015,31944725
Asia,,2016,38969899
Asia,,2017,44739509
Asia,,2018,40493095
Asia,,2019,41821552
Asia,,2020,46219276
Asia (FAO),,1961,6024225
Asia (FAO),,1962,5814410
Asia (FAO),,1963,6673299
Asia (FAO),,1964,8862407
Asia (FAO),,1965,9294951
Asia (FAO),,1966,11888391
Asia (FAO),,1967,13379174
Asia (FAO),,1968,13124870
Asia (FAO),,1969,12112473
Asia (FAO),,1970,13076624
Asia (FAO),,1971,14991473
Asia (FAO),,1972,15652509
Asia (FAO),,1973,15337683
Asia (FAO),,1974,14508409
Asia (FAO),,1975,16743572
Asia (FAO),,1976,20940749
Asia (FAO),,1977,19249359
Asia (FAO),,1978,19002837
Asia (FAO),,1979,20019303
Asia (FAO),,1980,21214012
Asia (FAO),,1981,25383219
Asia (FAO),,1982,29182788
Asia (FAO),,1983,30427570
Asia (FAO),,1984,28526795
Asia (FAO),,1985,27319101
Asia (FAO),,1986,28585882
Asia (FAO),,1987,30138936
Asia (FAO),,1988,32782521
Asia (FAO),,1989,28374027
Asia (FAO),,1990,37154377
Asia (FAO),,1991,41859373
Asia (FAO),,1992,43021039
Asia (FAO),,1993,39237013
Asia (FAO),,1994,37141077
Asia (FAO),,1995,36872287
Asia (FAO),,1996,38952364
Asia (FAO),,1997,43920488
Asia (FAO),,1998,48307263
Asia (FAO),,1999,38157034
Asia (FAO),,2000,37609622
Asia (FAO),,2001,34164904
Asia (FAO),,2002,42325377
Asia (FAO),,2003,31851278
Asia (FAO),,2004,31774278
Asia (FAO),,2005,34286395
Asia (FAO),,2006,35101210
Asia (FAO),,2007,33392667
Asia (FAO),,2008,33306077
Asia (FAO),,2009,31632339
Asia (FAO),,2010,36407955
Asia (FAO),,2011,37806917
Asia (FAO),,2012,36231492
Asia (FAO),,2013,33705654
Asia (FAO),,2014,33769475
Asia (FAO),,2015,31944725
Asia (FAO),,2016,38969899
Asia (FAO),,2017,44739509
Asia (FAO),,2018,40493095
Asia (FAO),,2019,41821552
Asia (FAO),,2020,46219276
Austria,AUT,1961,1250131
Austria,AUT,1962,1546387
Austria,AUT,1963,2090322
Austria,AUT,1964,2203062
Austria,AUT,1965,1461512
Austria,AUT,1966,2308288
Austria,AUT,1967,2006380
Austria,AUT,1968,1935791
Austria,AUT,1969,2005369
Austria,AUT,1970,1946895
Austria,AUT,1971,1590089
Austria,AUT,1972,2147667
Austria,AUT,1973,2220263
Austria,AUT,1974,2386209
Austria,AUT,1975,3134492
Austria,AUT,1976,2583342
Austria,AUT,1977,2701779
Austria,AUT,1978,1884677
Austria,AUT,1979,2145173
Austria,AUT,1980,2587292
Austria,AUT,1981,3006924
Austria,AUT,1982,3510487
Austria,AUT,1983,2020308
Austria,AUT,1984,2605014
Austria,AUT,1985,2407406
Austria,AUT,1986,1570866
Austria,AUT,1987,2128000
Austria,AUT,1988,1933700
Austria,AUT,1989,2640832
Austria,AUT,1990,2494366
Austria,AUT,1991,2521605
Austria,AUT,1992,2605408
Austria,AUT,1993,2993908
Austria,AUT,1994,2560583
Austria,AUT,1995,2885807
Austria,AUT,1996,3131307
Austria,AUT,1997,3011921
Austria,AUT,1998,3314143
Austria,AUT,1999,3216731
Austria,AUT,2000,2633532
Austria,AUT,2001,2773478
Austria,AUT,2002,3043398
Austria,AUT,2003,2485386
Austria,AUT,2004,2901902
Austria,AUT,2005,3083792
Austria,AUT,2006,2493097
Austria,AUT,2007,2656214
Austria,AUT,2008,3091432
Austria,AUT,2009,3083135
Austria,AUT,2010,3131666
Austria,AUT,2011,3456227
Austria,AUT,2012,3114426
Austria,AUT,2013,3465791
Austria,AUT,2014,4244219
Austria,AUT,2015,2853282
Austria,AUT,2016,3534415
Austria,AUT,2017,2993710
Austria,AUT,2018,2150190
Austria,AUT,2019,1965150
Austria,AUT,2020,2091690
Azerbaijan,AZE,1992,19847
Azerbaijan,AZE,1993,14500
Azerbaijan,AZE,1994,17777
Azerbaijan,AZE,1995,28083
Azerbaijan,AZE,1996,46100
Azerbaijan,AZE,1997,33700
Azerbaijan,AZE,1998,41394
Azerbaijan,AZE,1999,42179
Azerbaijan,AZE,2000,46679
Azerbaijan,AZE,2001,41325
Azerbaijan,AZE,2002,115759
Azerbaijan,AZE,2003,128884
Azerbaijan,AZE,2004,56777
Azerbaijan,AZE,2005,36584
Azerbaijan,AZE,2006,167231
Azerbaijan,AZE,2007,141916
Azerbaijan,AZE,2008,190680
Azerbaijan,AZE,2009,188670
Azerbaijan,AZE,2010,251854
Azerbaijan,AZE,2011,252949
Azerbaijan,AZE,2012,173848
Azerbaijan,AZE,2013,187923
Azerbaijan,AZE,2014,173287
Azerbaijan,AZE,2015,184280
Azerbaijan,AZE,2016,312605
Azerbaijan,AZE,2017,410085
Azerbaijan,AZE,2018,277217
Azerbaijan,AZE,2019,218525
Azerbaijan,AZE,2020,233760
Belarus,BLR,1992,1119600
Belarus,BLR,1993,1568500
Belarus,BLR,1994,1078100
Belarus,BLR,1995,1172400
Belarus,BLR,1996,1010600
Belarus,BLR,1997,1262000
Belarus,BLR,1998,1427500
Belarus,BLR,1999,1186500
Belarus,BLR,2000,1473600
Belarus,BLR,2001,1682100
Belarus,BLR,2002,1145500
Belarus,BLR,2003,1920200
Belarus,BLR,2004,3088328
Belarus,BLR,2005,3065182
Belarus,BLR,2006,3978474
Belarus,BLR,2007,3626154
Belarus,BLR,2008,4030380
Belarus,BLR,2009,3972992
Belarus,BLR,2010,3773390
Belarus,BLR,2011,4486688
Belarus,BLR,2012,4771691
Belarus,BLR,2013,4343222
Belarus,BLR,2014,4803220
Belarus,BLR,2015,3299898
Belarus,BLR,2016,4278728
Belarus,BLR,2017,4989334
Belarus,BLR,2018,4809430
Belarus,BLR,2019,4945325
Belarus,BLR,2020,4010943
Belgium,BEL,2000,6152000
Belgium,BEL,2001,5613900
Belgium,BEL,2002,6537100
Belgium,BEL,2003,6449682
Belgium,BEL,2004,6215850
Belgium,BEL,2005,5983173
Belgium,BEL,2006,5666621
Belgium,BEL,2007,5746892
Belgium,BEL,2008,4713904
Belgium,BEL,2009,5186179
Belgium,BEL,2010,4464778
Belgium,BEL,2011,5408977
Belgium,BEL,2012,5438400
Belgium,BEL,2013,4809300
Belgium,BEL,2014,4790700
Belgium,BEL,2015,4532561
Belgium,BEL,2016,4021110
Belgium,BEL,2017,5941783
Belgium,BEL,2018,5192050
Belgium,BEL,2019,5071850
Belgium,BEL,2020,4783970
Belgium-Luxembourg (FAO),,1961,2977000
Belgium-Luxembourg (FAO),,1962,2079000
Belgium-Luxembourg (FAO),,1963,2200000
Belgium-Luxembourg (FAO),,1964,3522000
Belgium-Luxembourg (FAO),,1965,2748000
Belgium-Luxembourg (FAO),,1966,2854000
Belgium-Luxembourg (FAO),,1967,4004000
Belgium-Luxembourg (FAO),,1968,4445000
Belgium-Luxembourg (FAO),,1969,4400000
Belgium-Luxembourg (FAO),,1970,4150000
Belgium-Luxembourg (FAO),,1971,5498000
Belgium-Luxembourg (FAO),,1972,4700000
Belgium-Luxembourg (FAO),,1973,5571000
Belgium-Luxembourg (FAO),,1974,4706000
Belgium-Luxembourg (FAO),,1975,5310000
Belgium-Luxembourg (FAO),,1976,5031000
Belgium-Luxembourg (FAO),,1977,4807000
Belgium-Luxembourg (FAO),,1978,5654000
Belgium-Luxembourg (FAO),,1979,6462000
Belgium-Luxembourg (FAO),,1980,5868000
Belgium-Luxembourg (FAO),,1981,7619000
Belgium-Luxembourg (FAO),,1982,8398000
Belgium-Luxembourg (FAO),,1983,5726000
Belgium-Luxembourg (FAO),,1984,6276000
Belgium-Luxembourg (FAO),,1985,6373000
Belgium-Luxembourg (FAO),,1986,6259000
Belgium-Luxembourg (FAO),,1987,5956000
Belgium-Luxembourg (FAO),,1988,6393000
Belgium-Luxembourg (FAO),,1989,6664000
Belgium-Luxembourg (FAO),,1990,6866000
Belgium-Luxembourg (FAO),,1991,6030000
Belgium-Luxembourg (FAO),,1992,6157000
Belgium-Luxembourg (FAO),,1993,6628000
Belgium-Luxembourg (FAO),,1994,5702000
Belgium-Luxembourg (FAO),,1995,6051000
Belgium-Luxembourg (FAO),,1996,6125000
Belgium-Luxembourg (FAO),,1997,6544700
Belgium-Luxembourg (FAO),,1998,5366200
Belgium-Luxembourg (FAO),,1999,7112021
Bosnia and Herzegovina,BIH,1992,134903
Bosnia and Herzegovina,BIH,1993,107127
Bosnia and Herzegovina,BIH,1994,75261
Bosnia and Herzegovina,BIH,1995,42000
Bosnia and Herzegovina,BIH,1996,600
Bosnia and Herzegovina,BIH,1997,0
Bosnia and Herzegovina,BIH,1998,2864
Bosnia and Herzegovina,BIH,1999,2716
Bosnia and Herzegovina,BIH,2000,2356
Bosnia and Herzegovina,BIH,2001,1781
Bosnia and Herzegovina,BIH,2002,1112
Bosnia and Herzegovina,BIH,2003,501
Bosnia and Herzegovina,BIH,2004,0
Bosnia and Herzegovina,BIH,2005,0
Bosnia and Herzegovina,BIH,2006,35
Bosnia and Herzegovina,BIH,2007,86
Bosnia and Herzegovina,BIH,2008,36
Bosnia and Herzegovina,BIH,2009,180
Bosnia and Herzegovina,BIH,2010,345
Bosnia and Herzegovina,BIH,2011,534
Bosnia and Herzegovina,BIH,2012,1000
Bosnia and Herzegovina,BIH,2013,1000
Bosnia and Herzegovina,BIH,2014,1000
Bosnia and Herzegovina,BIH,2015,1010
Bosnia and Herzegovina,BIH,2016,999
Bosnia and Herzegovina,BIH,2017,1003
Bosnia and Herzegovina,BIH,2018,1004
Bosnia and Herzegovina,BIH,2019,1002
Bosnia and Herzegovina,BIH,2020,1003
Bulgaria,BGR,1961,1640000
Bulgaria,BGR,1962,1300000
Bulgaria,BGR,1963,1305879
Bulgaria,BGR,1964,2183766
Bulgaria,BGR,1965,1500519
Bulgaria,BGR,1966,2598036
Bulgaria,BGR,1967,2102646
Bulgaria,BGR,1968,1446134
Bulgaria,BGR,1969,1674706
Bulgaria,BGR,1970,1753560
Bulgaria,BGR,1971,1562860
Bulgaria,BGR,1972,1998305
Bulgaria,BGR,1973,1757658
Bulgaria,BGR,1974,1648487
Bulgaria,BGR,1975,1801583
Bulgaria,BGR,1976,2367907
Bulgaria,BGR,1977,1784286
Bulgaria,BGR,1978,1636330
Bulgaria,BGR,1979,2085272
Bulgaria,BGR,1980,1448966
Bulgaria,BGR,1981,1170000
Bulgaria,BGR,1982,1583474
Bulgaria,BGR,1983,746030
Bulgaria,BGR,1984,1132586
Bulgaria,BGR,1985,823906
Bulgaria,BGR,1986,869542
Bulgaria,BGR,1987,736472
Bulgaria,BGR,1988,626098
Bulgaria,BGR,1989,966379
Bulgaria,BGR,1990,583704
Bulgaria,BGR,1991,855985
Bulgaria,BGR,1992,303862
Bulgaria,BGR,1993,95332
Bulgaria,BGR,1994,111659
Bulgaria,BGR,1995,157481
Bulgaria,BGR,1996,87007
Bulgaria,BGR,1997,79519
Bulgaria,BGR,1998,61786
Bulgaria,BGR,1999,53471
Bulgaria,BGR,2000,23060
Bulgaria,BGR,2001,18936
Bulgaria,BGR,2002,51326
Bulgaria,BGR,2003,9076
Bulgaria,BGR,2004,26367
Bulgaria,BGR,2005,24731
Bulgaria,BGR,2006,26788
Bulgaria,BGR,2007,16281
Bulgaria,BGR,2008,0
Bulgaria,BGR,2009,0
Bulgaria,BGR,2018,0
Bulgaria,BGR,2019,0
Bulgaria,BGR,2020,0
Canada,CAN,1961,1003075
Canada,CAN,1962,1003070
Canada,CAN,1963,1166404
Canada,CAN,1964,1177440
Canada,CAN,1965,1036309
Canada,CAN,1966,1057367
Canada,CAN,1967,980740
Canada,CAN,1968,996289
Canada,CAN,1969,978140
Canada,CAN,1970,831802
Canada,CAN,1971,1103100
Canada,CAN,1972,970455
Canada,CAN,1973,901900
Canada,CAN,1974,751592
Canada,CAN,1975,942594
Canada,CAN,1976,1158400
Canada,CAN,1977,1010842
Canada,CAN,1978,946552
Canada,CAN,1979,855400
Canada,CAN,1980,881100
Canada,CAN,1981,1215500
Canada,CAN,1982,1024000
Canada,CAN,1983,1167400
Canada,CAN,1984,925000
Canada,CAN,1985,400000
Canada,CAN,1986,945300
Canada,CAN,1987,989000
Canada,CAN,1988,717000
Canada,CAN,1989,828000
Canada,CAN,1990,941700
Canada,CAN,1991,1085000
Canada,CAN,1992,775700
Canada,CAN,1993,782900
Canada,CAN,1994,1091300
Canada,CAN,1995,1026900
Canada,CAN,1996,1034200
Canada,CAN,1997,635000
Canada,CAN,1998,880000
Canada,CAN,1999,743900
Canada,CAN,2000,821000
Canada,CAN,2001,544300
Canada,CAN,2002,344700
Canada,CAN,2003,680400
Canada,CAN,2004,743900
Canada,CAN,2005,607800
Canada,CAN,2006,870900
Canada,CAN,2007,762000
Canada,CAN,2008,344700
Canada,CAN,2009,657700
Canada,CAN,2010,508000
Canada,CAN,2011,703100
Canada,CAN,2012,598700
Canada,CAN,2013,598700
Canada,CAN,2014,580600
Canada,CAN,2015,503500
Canada,CAN,2016,811900
Canada,CAN,2017,771100
Canada,CAN,2018,1376700
Canada,CAN,2019,903800
Canada,CAN,2020,1066500
Central America (FAO),,1989,735
Central America (FAO),,1990,80
Central America (FAO),,1991,95
Central America (FAO),,1992,495
Central America (FAO),,1993,407
Central America (FAO),,1994,419
Central America (FAO),,1995,438
Central America (FAO),,1996,542
Central America (FAO),,1997,478
Central America (FAO),,1998,497
Central America (FAO),,1999,517
Central America (FAO),,2000,537
Central America (FAO),,2001,556
Central America (FAO),,2002,575
Central America (FAO),,2003,595
Central America (FAO),,2004,614
Central America (FAO),,2005,634
Central America (FAO),,2006,650
Central America (FAO),,2007,669
Central America (FAO),,2008,688
Central America (FAO),,2009,706
Central America (FAO),,2010,725
Central America (FAO),,2011,750
Central America (FAO),,2012,720
Central America (FAO),,2013,840
Central America (FAO),,2014,825
Central America (FAO),,2015,834
Central America (FAO),,2016,853
Central America (FAO),,2017,837
Central America (FAO),,2018,842
Central America (FAO),,2019,844
Central America (FAO),,2020,841
Central Asia (FAO),,1992,1305800
Central Asia (FAO),,1993,1086500
Central Asia (FAO),,1994,569400
Central Asia (FAO),,1995,492600
Central Asia (FAO),,1996,532881
Central Asia (FAO),,1997,419367
Central Asia (FAO),,1998,774140
Central Asia (FAO),,1999,1207040
Central Asia (FAO),,2000,982421
Central Asia (FAO),,2001,790105
Central Asia (FAO),,2002,1058432
Central Asia (FAO),,2003,1400260
Central Asia (FAO),,2004,1207127
Central Asia (FAO),,2005,768505
Central Asia (FAO),,2006,735959
Central Asia (FAO),,2007,655612
Central Asia (FAO),,2008,361400
Central Asia (FAO),,2009,454870
Central Asia (FAO),,2010,471144
Central Asia (FAO),,2011,538033
Central Asia (FAO),,2012,439804
Central Asia (FAO),,2013,447904
Central Asia (FAO),,2014,386066
Central Asia (FAO),,2015,547556
Central Asia (FAO),,2016,1241241
Central Asia (FAO),,2017,1367936
Central Asia (FAO),,2018,1469785
Central Asia (FAO),,2019,1420105
Central Asia (FAO),,2020,1109869
Chile,CHL,1961,251378
Chile,CHL,1962,430614
Chile,CHL,1963,692288
Chile,CHL,1964,613740
Chile,CHL,1965,681837
Chile,CHL,1966,767613
Chile,CHL,1967,1047900
Chile,CHL,1968,1142575
Chile,CHL,1969,1065940
Chile,CHL,1970,1655113
Chile,CHL,1971,1390657
Chile,CHL,1972,1201565
Chile,CHL,1973,855949
Chile,CHL,1974,1025300
Chile,CHL,1975,1616720
Chile,CHL,1976,2276170
Chile,CHL,1977,2208400
Chile,CHL,1978,840350
Chile,CHL,1979,661490
Chile,CHL,1980,452187
Chile,CHL,1981,1460460
Chile,CHL,1982,963020
Chile,CHL,1983,1642780
Chile,CHL,1984,2193990
Chile,CHL,1985,2124421
Chile,CHL,1986,2638372
